id,titolo,genere,regista,anno,durataMinuti,etaMinima,dataOra,costoBiglietto
41,Fight Club,Drama,David Fincher,1999,139,12,2027-12-14 10:30,6.50
42,American Psycho,Comedy,Mary Harron,2000,101,12,2027-12-13 15:30,6.50
43,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2027-12-13 12:30,8.00
44,Kurenai no buta,Animation,Hayao Miyazaki,1992,94,0,2027-12-13 10:00,7.00
45,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2027-12-12 18:00,8.50
46,To Have and Have Not,Adventure,Howard Hawks,1944,100,6,2027-12-12 15:30,8.00
47,Withnail & I,Comedy,Bruce Robinson,1987,107,16,2027-12-12 13:00,6.50
48,The Maltese Falcon,Film-Noir,John Huston,1941,100,12,2027-12-12 10:30,8.00
49,Fight Club,Drama,David Fincher,1999,139,12,2027-12-11 19:00,10.00
50,Reservoir Dogs,Crime,Quentin Tarantino,1992,99,16,2027-12-11 16:30,8.50
51,Shichinin no samurai,Action,Akira Kurosawa,1954,207,0,2027-12-11 12:30,8.50
52,Eastern Promises,Action,David Cronenberg,2007,100,16,2027-12-11 10:00,6.50
53,To Have and Have Not,Adventure,Howard Hawks,1944,100,6,2027-12-10 13:00,6.50
54,Cape Fear,Drama,J. Lee Thompson,1962,106,12,2027-12-10 10:30,7.00
55,Star Trek II: The Wrath of Khan,Action,Nicholas Meyer,1982,113,0,2027-12-09 10:00,8.00
56,Blue Velvet,Drama,David Lynch,1986,120,12,2027-12-08 10:00,6.50
57,Lat sau san taam,Action,John Woo,1992,128,16,2027-12-07 15:00,7.00
58,Eastern Promises,Action,David Cronenberg,2007,100,16,2027-12-07 12:30,6.50
59,Withnail & I,Comedy,Bruce Robinson,1987,107,16,2027-12-07 10:00,6.50
60,American Psycho,Comedy,Mary Harron,2000,101,12,2027-12-06 15:00,8.00
61,The Maltese Falcon,Film-Noir,John Huston,1941,100,12,2027-12-06 12:30,8.50
62,Eastern Promises,Action,David Cronenberg,2007,100,16,2027-12-06 10:00,7.00
63,American Psycho,Comedy,Mary Harron,2000,101,12,2027-12-05 20:00,8.50
64,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-12-05 17:30,8.50
65,Giant,Drama,George Stevens,1956,201,0,2027-12-05 13:00,8.50
66,Mississippi Burning,Crime,Alan Parker,1988,128,12,2027-12-05 10:00,8.00
67,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-12-04 15:30,6.50
68,Lat sau san taam,Action,John Woo,1992,128,16,2027-12-04 12:30,8.00
69,Cape Fear,Drama,J. Lee Thompson,1962,106,12,2027-12-04 10:00,8.00
70,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-12-03 16:00,8.50
71,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-12-03 13:30,7.50
72,Cool Hand Luke,Crime,Stuart Rosenberg,1967,127,12,2027-12-03 10:30,8.50
73,Giant,Drama,George Stevens,1956,201,0,2027-12-02 10:30,7.50
74,Blue Velvet,Drama,David Lynch,1986,120,12,2027-12-01 14:00,8.00
75,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-12-01 10:00,8.00
76,Kurenai no buta,Animation,Hayao Miyazaki,1992,94,0,2027-11-30 13:30,6.50
77,Cool Hand Luke,Crime,Stuart Rosenberg,1967,127,12,2027-11-30 10:30,7.50
78,The Others,Horror,Alejandro Amenábar,2001,101,12,2027-11-29 13:30,7.00
79,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-11-29 10:00,7.50
80,Mississippi Burning,Crime,Alan Parker,1988,128,12,2027-11-28 16:00,8.00
81,The Blues Brothers,Action,John Landis,1980,133,0,2027-11-28 13:00,8.00
82,Festen,Drama,Thomas Vinterberg,1998,105,16,2027-11-28 10:30,8.00
83,Cool Hand Luke,Crime,Stuart Rosenberg,1967,127,12,2027-11-27 20:00,10.00
84,The Blues Brothers,Action,John Landis,1980,133,0,2027-11-27 17:00,7.50
85,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-11-27 13:30,6.50
86,The Blues Brothers,Action,John Landis,1980,133,0,2027-11-27 10:30,8.00
87,It Happened One Night,Comedy,Frank Capra,1934,105,12,2027-11-26 13:30,8.00
88,Sin City,Crime,Frank Miller,2005,124,12,2027-11-26 10:30,6.50
89,The Silence of the Lambs,Crime,Jonathan Demme,1991,118,12,2027-11-25 16:00,6.50
90,Tengoku to jigoku,Crime,Akira Kurosawa,1963,143,12,2027-11-25 12:30,8.00
91,It Happened One Night,Comedy,Frank Capra,1934,105,12,2027-11-25 10:00,7.00
92,The Ladykillers,Comedy,Alexander Mackendrick,1955,91,12,2027-11-24 16:00,6.50
93,Cape Fear,Drama,J. Lee Thompson,1962,106,12,2027-11-24 13:30,7.50
94,Aliens,Action,James Cameron,1986,137,0,2027-11-24 10:30,8.00
95,The Others,Horror,Alejandro Amenábar,2001,101,12,2027-11-23 12:30,6.50
96,"Monsters, Inc.",Animation,Pete Docter,2001,92,0,2027-11-23 10:00,6.50
97,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-11-22 10:30,7.50
98,The Hurricane,Biography,Norman Jewison,1999,146,16,2027-11-21 16:00,8.00
99,Platoon,Drama,Oliver Stone,1986,120,12,2027-11-21 13:00,8.50
100,Cool Hand Luke,Crime,Stuart Rosenberg,1967,127,12,2027-11-21 10:00,7.00
101,Aliens,Action,James Cameron,1986,137,0,2027-11-20 20:30,9.00
102,Jules et Jim,Drama,François Truffaut,1962,105,12,2027-11-20 18:00,10.00
103,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-11-20 14:30,8.50
104,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-11-20 10:30,7.00
105,The Hurricane,Biography,Norman Jewison,1999,146,16,2027-11-19 10:00,8.50
106,Scent of a Woman,Drama,Martin Brest,1992,156,12,2027-11-18 10:00,7.00
107,Giant,Drama,George Stevens,1956,201,0,2027-11-17 10:30,7.50
108,The Hurricane,Biography,Norman Jewison,1999,146,16,2027-11-16 16:00,7.00
109,Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,6,2027-11-16 13:00,7.50
110,The Others,Horror,Alejandro Amenábar,2001,101,12,2027-11-16 10:30,8.00
111,"Monsters, Inc.",Animation,Pete Docter,2001,92,0,2027-11-15 17:00,8.00
112,The Long Goodbye,Comedy,Robert Altman,1973,112,12,2027-11-15 14:00,7.00
113,Fight Club,Drama,David Fincher,1999,139,12,2027-11-15 10:30,8.00
114,Platoon,Drama,Oliver Stone,1986,120,12,2027-11-14 15:30,7.00
115,Tengoku to jigoku,Crime,Akira Kurosawa,1963,143,12,2027-11-14 12:30,7.50
116,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-11-14 10:00,6.50
117,Papurika,Animation,Satoshi Kon,2006,90,0,2027-11-13 18:30,9.50
118,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-11-13 16:00,7.50
119,Platoon,Drama,Oliver Stone,1986,120,12,2027-11-13 13:00,7.00
120,Platoon,Drama,Oliver Stone,1986,120,12,2027-11-13 10:30,7.50
121,Blow,Biography,Ted Demme,2001,124,16,2027-11-12 13:30,8.00
122,Scent of a Woman,Drama,Martin Brest,1992,156,12,2027-11-12 10:00,7.00
123,Papurika,Animation,Satoshi Kon,2006,90,0,2027-11-11 13:00,8.00
124,Papurika,Animation,Satoshi Kon,2006,90,0,2027-11-11 10:30,6.50
125,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-11-10 10:30,8.00
126,The Long Goodbye,Comedy,Robert Altman,1973,112,12,2027-11-09 13:00,7.00
127,Sin City,Crime,Frank Miller,2005,124,12,2027-11-09 10:00,7.00
128,Chinatown,Drama,Roman Polanski,1974,130,12,2027-11-08 13:00,7.00
129,Papurika,Animation,Satoshi Kon,2006,90,0,2027-11-08 10:30,8.50
130,Sherlock Jr.,Action,Buster Keaton,1924,45,12,2027-11-07 15:00,6.50
131,Annie Hall,Comedy,Woody Allen,1977,93,12,2027-11-07 12:30,8.00
132,Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,6,2027-11-07 10:00,7.50
133,Giant,Drama,George Stevens,1956,201,0,2027-11-06 19:30,9.00
134,Idi i smotri,Drama,Elem Klimov,1985,142,12,2027-11-06 16:00,8.00
135,Sin City,Crime,Frank Miller,2005,124,12,2027-11-06 13:00,6.50
136,Blow,Biography,Ted Demme,2001,124,16,2027-11-06 10:00,7.50
137,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-11-05 10:30,8.00
138,Aliens,Action,James Cameron,1986,137,0,2027-11-04 10:30,8.00
139,Scent of a Woman,Drama,Martin Brest,1992,156,12,2027-11-03 10:30,7.00
140,Papurika,Animation,Satoshi Kon,2006,90,0,2027-11-02 13:30,6.50
141,Enemy at the Gates,Drama,Jean-Jacques Annaud,2001,131,12,2027-11-02 10:30,7.00
142,The Ladykillers,Comedy,Alexander Mackendrick,1955,91,12,2027-11-01 13:00,8.00
143,"4 luni, 3 saptamâni si 2 zile",Drama,Cristian Mungiu,2007,113,12,2027-11-01 10:30,8.50
144,Sherlock Jr.,Action,Buster Keaton,1924,45,12,2027-10-31 17:00,6.50
145,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-10-31 14:00,6.50
146,Scent of a Woman,Drama,Martin Brest,1992,156,12,2027-10-31 10:30,6.50
147,"Monsters, Inc.",Animation,Pete Docter,2001,92,0,2027-10-30 17:00,8.00
148,Blow,Biography,Ted Demme,2001,124,16,2027-10-30 14:00,8.50
149,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-10-30 10:30,7.50
150,Annie Hall,Comedy,Woody Allen,1977,93,12,2027-10-29 10:30,7.50
151,Tengoku to jigoku,Crime,Akira Kurosawa,1963,143,12,2027-10-28 15:00,7.50
152,Ivanovo detstvo,Drama,Andrei Tarkovsky,1962,95,12,2027-10-28 12:30,7.50
153,The Ladykillers,Comedy,Alexander Mackendrick,1955,91,12,2027-10-28 10:00,8.00
154,Donnie Brasco,Biography,Mike Newell,1997,127,12,2027-10-27 10:30,6.50
155,Zelig,Comedy,Woody Allen,1983,79,6,2027-10-26 10:00,8.50
156,No Country for Old Men,Crime,Ethan Coen,2007,122,16,2027-10-25 10:30,6.50
157,Annie Hall,Comedy,Woody Allen,1977,93,12,2027-10-24 19:30,9.50
158,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-10-24 16:00,8.00
159,Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,6,2027-10-24 13:00,7.00
160,Butch Cassidy and the Sundance Kid,Biography,George Roy Hill,1969,110,6,2027-10-24 10:30,8.50
161,Adaptation.,Comedy,Spike Jonze,2002,115,16,2027-10-23 19:00,8.50
162,Blow,Biography,Ted Demme,2001,124,16,2027-10-23 16:00,7.00
163,No Country for Old Men,Crime,Ethan Coen,2007,122,16,2027-10-23 13:00,6.50
164,Platoon,Drama,Oliver Stone,1986,120,12,2027-10-23 10:00,7.50
165,Zelig,Comedy,Woody Allen,1983,79,6,2027-10-22 10:00,7.50
166,Adaptation.,Comedy,Spike Jonze,2002,115,16,2027-10-21 10:00,7.50
167,Chinatown,Drama,Roman Polanski,1974,130,12,2027-10-20 13:30,8.00
168,Aliens,Action,James Cameron,1986,137,0,2027-10-20 10:00,6.50
169,"Monsters, Inc.",Animation,Pete Docter,2001,92,0,2027-10-19 13:30,7.00
170,Aliens,Action,James Cameron,1986,137,0,2027-10-19 10:30,8.50
171,The Best Years of Our Lives,Drama,William Wyler,1946,170,12,2027-10-18 10:30,8.50
172,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-10-17 16:00,8.00
173,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-10-17 13:00,6.50
174,Sunrise: A Song of Two Humans,Drama,F.W. Murnau,1927,94,12,2027-10-17 10:30,7.50
175,Platoon,Drama,Oliver Stone,1986,120,12,2027-10-16 16:30,7.00
176,Idi i smotri,Drama,Elem Klimov,1985,142,12,2027-10-16 13:30,6.50
177,Adaptation.,Comedy,Spike Jonze,2002,115,16,2027-10-16 10:30,6.50
178,Chinatown,Drama,Roman Polanski,1974,130,12,2027-10-15 13:00,8.00
179,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-10-15 10:00,6.50
180,Sherlock Jr.,Action,Buster Keaton,1924,45,12,2027-10-14 10:30,6.50
181,Sunrise: A Song of Two Humans,Drama,F.W. Murnau,1927,94,12,2027-10-13 13:00,7.50
182,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-10-13 10:00,6.50
183,Sunrise: A Song of Two Humans,Drama,F.W. Murnau,1927,94,12,2027-10-12 13:30,8.00
184,The Pianist,Biography,Roman Polanski,2002,150,16,2027-10-12 10:30,7.00
185,The Shop Around the Corner,Comedy,Ernst Lubitsch,1940,99,12,2027-10-11 13:00,7.50
186,The Lives of Others,Drama,Florian Henckel von Donnersmarck,2006,137,12,2027-10-11 10:00,7.50
187,Bound by Honor,Crime,Taylor Hackford,1993,180,16,2027-10-10 17:30,7.50
188,Falling Down,Action,Joel Schumacher,1993,113,16,2027-10-10 15:00,7.00
189,Sherlock Jr.,Action,Buster Keaton,1924,45,12,2027-10-10 13:30,8.50
190,Hauru no ugoku shiro,Animation,Hayao Miyazaki,2004,119,0,2027-10-10 10:30,8.00
191,Platoon,Drama,Oliver Stone,1986,120,12,2027-10-09 16:00,6.50
192,A Christmas Story,Comedy,Bob Clark,1983,93,0,2027-10-09 13:30,7.50
193,Amadeus,Biography,Milos Forman,1984,160,16,2027-10-09 10:00,8.00
194,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-10-08 10:00,6.50
195,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-10-07 10:30,6.50
196,As Good as It Gets,Comedy,James L. Brooks,1997,139,12,2027-10-06 14:00,7.00
197,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-10-06 10:30,7.00
198,Black Hawk Down,Drama,Ridley Scott,2001,144,12,2027-10-05 16:30,7.50
199,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-10-05 14:00,8.50
200,Black Hawk Down,Drama,Ridley Scott,2001,144,12,2027-10-05 10:30,8.00
201,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-10-04 10:30,6.50
202,"4 luni, 3 saptamâni si 2 zile",Drama,Cristian Mungiu,2007,113,12,2027-10-03 17:00,7.00
203,Falling Down,Action,Joel Schumacher,1993,113,16,2027-10-03 14:00,7.00
204,As Good as It Gets,Comedy,James L. Brooks,1997,139,12,2027-10-03 10:30,8.00
205,Persona,Drama,Ingmar Bergman,1966,85,12,2027-10-02 19:30,9.00
206,The Lives of Others,Drama,Florian Henckel von Donnersmarck,2006,137,12,2027-10-02 16:30,8.50
207,Falling Down,Action,Joel Schumacher,1993,113,16,2027-10-02 13:30,8.50
208,As Good as It Gets,Comedy,James L. Brooks,1997,139,12,2027-10-02 10:30,8.00
209,Back to the Future Part II,Adventure,Robert Zemeckis,1989,108,0,2027-10-01 10:30,8.00
210,Falling Down,Action,Joel Schumacher,1993,113,16,2027-09-30 13:30,8.00
211,The Lives of Others,Drama,Florian Henckel von Donnersmarck,2006,137,12,2027-09-30 10:30,7.00
212,The Lives of Others,Drama,Florian Henckel von Donnersmarck,2006,137,12,2027-09-29 10:00,8.00
213,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2027-09-28 13:00,7.00
214,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2027-09-28 10:00,7.00
215,Donnie Brasco,Biography,Mike Newell,1997,127,12,2027-09-27 10:00,7.00
216,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2027-09-26 19:00,9.50
217,Boogie Nights,Drama,Paul Thomas Anderson,1997,155,16,2027-09-26 15:30,7.00
218,Sleepers,Crime,Barry Levinson,1996,147,12,2027-09-26 12:30,6.50
219,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2027-09-26 10:00,7.00
220,Enemy at the Gates,Drama,Jean-Jacques Annaud,2001,131,12,2027-09-25 15:30,7.50
221,Happiness,Comedy,Todd Solondz,1998,134,12,2027-09-25 12:30,8.50
222,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2027-09-25 10:00,7.00
223,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-09-24 10:30,7.00
224,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,2027-09-23 14:30,7.50
225,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2027-09-23 12:00,7.00
226,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,2027-09-23 10:00,7.50
227,Toki o kakeru shôjo,Animation,Mamoru Hosoda,2006,98,0,2027-09-22 15:30,8.00
228,It Happened One Night,Comedy,Frank Capra,1934,105,12,2027-09-22 13:00,6.50
229,The Shop Around the Corner,Comedy,Ernst Lubitsch,1940,99,12,2027-09-22 10:30,6.50
230,The Lives of Others,Drama,Florian Henckel von Donnersmarck,2006,137,12,2027-09-21 10:00,6.50
231,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,2027-09-20 15:00,8.50
232,Sunrise: A Song of Two Humans,Drama,F.W. Murnau,1927,94,12,2027-09-20 12:30,8.50
233,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-09-20 10:00,7.50
234,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-09-19 17:00,8.50
235,Trois couleurs: Blanc,Comedy,Krzysztof Kieslowski,1994,92,0,2027-09-19 14:30,8.00
236,Bound by Honor,Crime,Taylor Hackford,1993,180,16,2027-09-19 10:30,8.50
237,The Shawshank Redemption,Drama,Frank Darabont,1994,142,12,2027-09-18 18:30,10.00
238,Kal Ho Naa Ho,Comedy,Nikkhil Advani,2003,186,0,2027-09-18 14:30,8.50
239,Persona,Drama,Ingmar Bergman,1966,85,12,2027-09-18 12:30,7.50
240,Persona,Drama,Ingmar Bergman,1966,85,12,2027-09-18 10:30,8.50
241,Persona,Drama,Ingmar Bergman,1966,85,12,2027-09-17 15:00,6.50
242,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2027-09-17 12:30,7.50
243,Bronenosets Potemkin,Drama,Sergei M. Eisenstein,1925,75,12,2027-09-17 10:30,8.50
244,The King of Comedy,Comedy,Martin Scorsese,1982,109,0,2027-09-16 10:00,7.00
245,The Shawshank Redemption,Drama,Frank Darabont,1994,142,12,2027-09-15 16:30,8.00
246,Falling Down,Action,Joel Schumacher,1993,113,16,2027-09-15 13:30,7.50
247,Amadeus,Biography,Milos Forman,1984,160,16,2027-09-15 10:00,8.00
248,Harry Potter and the Sorcerer's Stone,Adventure,Chris Columbus,2001,152,0,2027-09-14 17:00,7.00
249,Falling Down,Action,Joel Schumacher,1993,113,16,2027-09-14 14:00,8.50
250,Kal Ho Naa Ho,Comedy,Nikkhil Advani,2003,186,0,2027-09-14 10:00,8.50
251,Jeux d'enfants,Comedy,Yann Samuell,2003,93,16,2027-09-13 10:00,8.00
252,Memento,Mystery,Christopher Nolan,2000,113,12,2027-09-12 16:00,7.50
253,The Others,Horror,Alejandro Amenábar,2001,101,12,2027-09-12 13:30,7.50
254,The Shawshank Redemption,Drama,Frank Darabont,1994,142,12,2027-09-12 10:30,8.50
255,The Pianist,Biography,Roman Polanski,2002,150,16,2027-09-11 16:30,7.50
256,Barry Lyndon,Adventure,Stanley Kubrick,1975,185,6,2027-09-11 12:30,8.00
257,Toki o kakeru shôjo,Animation,Mamoru Hosoda,2006,98,0,2027-09-11 10:00,8.50
258,Falling Down,Action,Joel Schumacher,1993,113,16,2027-09-10 13:00,8.50
259,All That Jazz,Drama,Bob Fosse,1979,123,12,2027-09-10 10:00,6.50
260,Jûbê ninpûchô,Animation,Yoshiaki Kawajiri,1993,94,12,2027-09-09 17:30,7.50
261,Sholay,Action,Ramesh Sippy,1975,204,0,2027-09-09 13:30,8.50
262,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2027-09-09 10:30,8.00
263,Sleepers,Crime,Barry Levinson,1996,147,12,2027-09-08 17:00,8.00
264,"Swades: We, the People",Drama,Ashutosh Gowariker,2004,210,0,2027-09-08 13:00,7.00
265,Toki o kakeru shôjo,Animation,Mamoru Hosoda,2006,98,0,2027-09-08 10:30,7.00
266,Toki o kakeru shôjo,Animation,Mamoru Hosoda,2006,98,0,2027-09-07 15:30,6.50
267,Star Wars: Episode VI - Return of the Jedi,Action,Richard Marquand,1983,131,0,2027-09-07 12:30,8.00
268,Toki o kakeru shôjo,Animation,Mamoru Hosoda,2006,98,0,2027-09-07 10:00,8.50
269,All That Jazz,Drama,Bob Fosse,1979,123,12,2027-09-06 13:00,6.50
270,The Shawshank Redemption,Drama,Frank Darabont,1994,142,12,2027-09-06 10:00,8.50
271,Philadelphia,Drama,Jonathan Demme,1993,125,12,2027-09-05 21:30,10.00
272,The Killing Fields,Biography,Roland Joffé,1984,141,12,2027-09-05 18:00,9.50
273,My Fair Lady,Drama,George Cukor,1964,170,0,2027-09-05 14:30,8.00
274,Saving Private Ryan,Drama,Steven Spielberg,1998,169,16,2027-09-05 10:30,6.50
275,The Killing Fields,Biography,Roland Joffé,1984,141,12,2027-09-04 17:00,8.50
276,Fitzcarraldo,Adventure,Werner Herzog,1982,158,16,2027-09-04 13:30,8.50
277,All That Jazz,Drama,Bob Fosse,1979,123,12,2027-09-04 10:30,8.00
278,"Shin seiki Evangelion Gekijô-ban: Air/Magokoro wo, kimi ni",Animation,Hideaki Anno,1997,87,12,2027-09-03 16:30,6.50
279,All That Jazz,Drama,Bob Fosse,1979,123,12,2027-09-03 13:30,6.50
280,The Illusionist,Drama,Neil Burger,2006,110,0,2027-09-03 10:30,7.00
281,Sholay,Action,Ramesh Sippy,1975,204,0,2027-09-02 10:30,8.50
282,The Game,Action,David Fincher,1997,129,12,2027-09-01 10:30,7.50
283,Kurenai no buta,Animation,Hayao Miyazaki,1992,94,0,2027-08-31 13:00,7.00
284,Jeux d'enfants,Comedy,Yann Samuell,2003,93,16,2027-08-31 10:30,7.00
285,The Killing Fields,Biography,Roland Joffé,1984,141,12,2027-08-30 10:30,7.00
286,Kal Ho Naa Ho,Comedy,Nikkhil Advani,2003,186,0,2027-08-29 20:30,10.00
287,Fitzcarraldo,Adventure,Werner Herzog,1982,158,16,2027-08-29 17:00,8.50
288,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2027-08-29 14:30,8.00
289,Sholay,Action,Ramesh Sippy,1975,204,0,2027-08-29 10:00,8.00
290,My Fair Lady,Drama,George Cukor,1964,170,0,2027-08-28 16:00,8.50
291,The Illusionist,Drama,Neil Burger,2006,110,0,2027-08-28 13:30,8.50
292,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2027-08-28 10:30,7.50
293,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2027-08-27 10:30,7.00
294,Sen to Chihiro no kamikakushi,Animation,Hayao Miyazaki,2001,125,0,2027-08-26 17:00,7.00
295,Close Encounters of the Third Kind,Drama,Steven Spielberg,1977,138,0,2027-08-26 14:00,6.50
296,Saving Private Ryan,Drama,Steven Spielberg,1998,169,16,2027-08-26 10:30,7.50
297,Le notti di Cabiria,Drama,Federico Fellini,1957,110,12,2027-08-25 15:30,6.50
298,Jeux d'enfants,Comedy,Yann Samuell,2003,93,16,2027-08-25 13:00,7.50
299,The Sixth Sense,Drama,M. Night Shyamalan,1999,107,12,2027-08-25 10:30,8.00
300,The Treasure of the Sierra Madre,Adventure,John Huston,1948,126,12,2027-08-24 13:00,6.50
301,Zelig,Comedy,Woody Allen,1983,79,6,2027-08-24 10:30,7.50
302,Gone with the Wind,Drama,Victor Fleming,1939,238,0,2027-08-23 13:00,6.50
